"area";"condition";"length_mean_sd";"length_mean_min";"length_mean_max";"length_mean";"length_median_sd";"length_median_min";"length_median_max";"length_median";"min_length_sd";"min_length_min";"min_length_max";"min_length";"max_length_sd";"max_length_min";"max_length_max";"max_length";"se_sd";"se_min";"se_max";"se";"correlation_sd";"correlation_min";"correlation_max";"correlation";"rmse_sd";"rmse_min";"rmse_max";"rmse";"bias_sd";"bias_min";"bias_max";"bias";"min_exp_sd";"min_exp_min";"min_exp_max";"min_exp";"max_exp_sd";"max_exp_min";"max_exp_max";"max_exp";"n_exp_rmax_sd";"n_exp_rmax_min";"n_exp_rmax_max";"n_exp_rmax";"overlap_sd";"overlap_min";"overlap_max";"overlap";"n_exp0_sd";"n_exp0_min";"n_exp0_max";"n_exp0"
"CN";"PR3EP30RE015";0,0210320306949022;15,4036493101914;15,4717400979083;15,4408544726302;0;15;15;15;0;15;15;15;0,944513241388333;20;24;21,55;0,00279353615530586;0,533589116600866;0,542796576485281;0,537610050121636;0,00750770756042787;0,781796670125659;0,807247657094231;0,791711448864899;0,00819817611354584;0,435309655029933;0,46433801861586;0,453054082477679;0,00704924465854283;0,0541984998607001;0,0827391832674459;0,0716628663426474;0,000728772911068919;0,00845571873609257;0,0106809078771696;0,00959056519804183;0,00447583658281549;0,0663106364040943;0,0841121495327103;0,0734757454383623;0;0;0;0;0,000173402800656184;0,0229666180611527;0,0235999970171933;0,0232165112986654;0;0;0;0
"LC";"ALEEP30";0,231414029261343;32,8308795771989;33,884107210268;33,4768969422424;0,489360484929593;26;28;27,15;0;15;15;15;0;60;60;60;0,000751318524346699;0,312211228834401;0,314665813095035;0,313213544220991;0,00283701647980008;0,903811149784189;0,916022190957132;0,91137273068269;0,00370077328466025;0,286935088248304;0,302038669285913;0,293071103023316;0,00675440523699138;0,0181407876966548;0,0461763590178865;0,0335226256189405;0,00117220609684687;0,00679501698754247;0,0105700264250661;0,00898452246130615;0,00315221913448906;0,0690826727066818;0,0792751981879955;0,0745941864854662;0;0;0;0;0,000322132138876197;0,0408978512413971;0,0423184594764295;0,0417807952327352;0;0;0;0
"LC";"ALEEP30RE015";0,0181148290757502;15,4156285390713;15,4933937334843;15,4542846357116;0;15;15;15;0;15;15;15;0,85224162622679;20;23;20,9;0,00218911896474814;0,442348325379061;0,450716476035559;0,446323009850128;0,00610734712717652;0,815304032705557;0,837665570077736;0,828608570051796;0,00746574863056147;0,408141587857795;0,431463605862747;0,419557304304815;0,00630760013073737;0,077961497633555;0,101842119552301;0,0879252671795506;0,000698229059259922;0,00226500566251416;0,00566251415628539;0,00434126085315213;0,00134097459192358;0,0271800679501699;0,0328425821064553;0,0297281993204983;0;0;0;0;4,53457191259135e-05;0,0187680596779945;0,0189482270177959;0,0188489467499663;0;0;0;0
"LC";"ALETF20";0;20;20;20;0;20;20;20;0;20;20;20;0;20;20;20;0,00130991393258132;0,396139749747946;0,40116713353963;0,398299304359947;0,00346153088406121;0,851167425813408;0,868217142152065;0,86039892179727;0,0041382498768161;0,370920041837008;0,387349206604676;0,378012129562673;0,00801151316725066;0,0642445786127668;0,0947192287382118;0,0757278110133358;0,000763890378093719;0,00453001132502831;0,00679501698754247;0,00562476406191015;0,00181859467329979;0,0362400906002265;0,0426576066440166;0,0394677236693092;0;0;0;0;3,73766418928741e-05;0,0243731368105317;0,0245056682856883;0,02445674707052;0;0;0;0
"LC";"ALETF45";0;45;45;45;0;45;45;45;0;45;45;45;0;45;45;45;0,00148168871828519;0,268113676108345;0,273520690102535;0,27094470824528;0,00233399701531119;0,924974239592449;0,934245061895592;0,929191434141789;0,00399132205789155;0,261450557282185;0,275196640778821;0,267863119582334;0,00538782336671055;0,0330827070504928;0,0530640304369149;0,0453665466988205;0,00149239197836099;0,0105700264250661;0,0169875424688562;0,0136089090222726;0,00420741784153806;0,091355228388071;0,10872027180068;0,0975084937712344;0;0;0;0;8,21542326597603e-05;0,0556308071488269;0,055915928745822;0,0557688571269371;0;0;0;0
"LC";"MIFEP30";0,0522400369273023;16,3786334465836;16,6092865232163;16,4717818044545;0;15;15;15;0;15;15;15;0;60;60;60;0,000452747455441135;0,200878558874816;0,202775066538368;0,20174778753528;0,00139137777859226;0,954909314301289;0,960056195019293;0,958514377317554;0,00320559167808132;0,192967543396279;0,206145033690526;0,197638180113553;0,00275914329036543;0,0115071070054362;0,0214445318630731;0,0157742370734963;0;0;0;0;0;1;1;1;0;12;12;12;0,00156357918817091;0,261588437279425;0,26813198927923;0,265014594585659;4,77824015170527;645;661;651,1
"LC";"MIFEP30RE015";0,00431022420254806;15,0264250660627;15,042657606644;15,034711211778;0;15;15;15;0;15;15;15;1,27630222456166;17;22;18,55;0,000651952246081028;0,209802523504696;0,212258508732579;0,211162619695245;0,00157466854329437;0,951025024505365;0,957224609346078;0,955101200445636;0,00359948954602024;0,203301515364589;0,218097524746066;0,208773206567054;0,00313959055855622;0,0171654373379636;0,0290102944025691;0,0222310477690685;0;0;0;0;0;1;1;1;0;12;12;12;0,0013953888711066;0,281098564912376;0,286390102244152;0,28407141495549;2,69258240356725;725;734;730,25
"LC";"MIFTF20";0;20;20;20;0;20;20;20;0;20;20;20;0;20;20;20;0,000665117725197693;0,183350735549728;0,18574130621127;0,184534705924094;0,00150427327725739;0,96020127227517;0,96621598291511;0,963974157330884;0,0042314775506596;0,17952722860194;0,19745700488712;0,186553837083117;0,00321476117146317;0,0131074892092631;0,0247160269310248;0,0186369232421139;0;0;0;0;0;1;1;1;0,656946685331786;15;17;15,7;0,00112412852352394;0,261778293082954;0,265871520567816;0,263848779591749;3,34781940027268;669;681;675,45
"LC";"MIFTF45";0;45;45;45;0;45;45;45;0;45;45;45;0;45;45;45;0,000284033487299562;0,12878577683697;0,129883236737893;0,129344030312893;0,00056676098882482;0,979527113518857;0,982195849423397;0,980893427576021;0,00228747152788013;0,130186027944129;0,139321736201202;0,134482006084034;0,00239738138000547;0,00613600268116585;0,0157066094901819;0,01040252899649;0;0;0;0;0;1;1;1;0,753937034925052;41;44;42,6;0,00072310335792308;0,27808294693758;0,280619323858615;0,279094955698465;3,46562062490825;511;522;517,3
"LC";"PR1TF20";0;20;20;20;0;20;20;20;0;20;20;20;0;20;20;20;0,00235183720683557;0,207226725222945;0,215452970700583;0,209499347024575;0,00180525465793347;0,950748753410642;0,95887892718658;0,955219642724873;0,00432548508218516;0,199927470182839;0,21698219790406;0,208983534254824;0,00381955426519322;0,0159777831099081;0,0305326908100427;0,0230394401615246;0,000229134382282704;0;0,000755001887504719;0,00018875047187618;0,000392597160624102;0,298603246508116;0,300113250283126;0,299792374480936;0,606976978666884;0;2;0,5;0,000563564877093724;0,118784327255269;0,120950618344836;0,120166019898817;0,850696309223401;0;3;0,75
"LC";"PR1TF45";0;45;45;45;0;45;45;45;0;45;45;45;0;45;45;45;0,00091192139506721;0,187262483119235;0,190569444343993;0,188830697429919;0,00118847594548938;0,957566757934769;0,961971078630079;0,960112924589632;0,00362834303413798;0,190023379169014;0,202193570214148;0,196596965162028;0,0050826194349234;0,0114658082924574;0,0278601277303255;0,0211069360937018;0,000465978120412324;0,000755001887504719;0,00226500566251416;0,001679879199698;0;0,300113250283126;0,300113250283126;0,300113250283126;3,22163737382423;5;15;9,8;0,000427576471229112;0,153497869022136;0,155498761780754;0,154804627150404;0;0;0;0
"LC";"PR2EP30";0,23003580697699;19,1649679124198;20,0860702151755;19,6119479048698;0;15;15;15;0;15;15;15;0;60;60;60;0,00169091388279582;0,236068264526718;0,24379005770362;0,240078461289092;0,00209008434089471;0,938071595302304;0,946004279967222;0,942675566892514;0,00399105244972323;0,225767734081397;0,240838807266628;0,232516056441482;0,00523883400816946;0,0117193018662899;0,027946197591393;0,0198072766209787;0;0;0;0;0;0,300113250283126;0,300113250283126;0,300113250283126;1,356271980176;1;5;2,95;0,000876250795787298;0,146871834282827;0,150553371489104;0,14846112457571;4,16596485317564;14;29;20,75
"LC";"PR2EP30RE015";0,00791215416850477;15,1068327670819;15,1343903359758;15,1178369195923;0;15;15;15;0;15;15;15;0,670820393249937;18;21;19,35;0,00238374163749764;0,26322663673781;0,273073775669992;0,270164767970001;0,00285829936595992;0,921638484885157;0,931875074833373;0,927680966468677;0,00614462064514871;0,259716972602408;0,282274369903407;0,268468555458563;0,00544657275924372;0,0299008429521257;0,0465876543208845;0,0379622105052838;0;0;0;0;8,44117771800532e-05;0,299735749339373;0,300113250283126;0,300094375235938;1,12857618729367;0;4;2,3;0,000922845617446665;0,149612461183679;0,153288412324203;0,151431883517219;5,07081432264452;15;33;24,65
"LC";"PR2TF20";0;20;20;20;0;20;20;20;0;20;20;20;0;20;20;20;0,000450867114720256;0,217548842553828;0,219393739883571;0,218471225434232;0,00197540214301933;0,947461436472739;0,954933937928944;0,951599411018815;0,00446820695740865;0,210236244352769;0,225900625360759;0,217058928946143;0,00277745697406217;0,0185419125312319;0,02953437771998;0,0244940603461988;0,00033034880329008;0,000377500943752359;0,00151000377500944;0,00100037750094375;0,000871227343839917;0,296715741789354;0,300113250283126;0,299282748206871;0,470162345981627;0;1;0,3;0,000702367686017108;0,0889079705711722;0,0918590047513246;0,090595499544619;0;0;0;0
"LC";"PR2TF45";0;45;45;45;0;45;45;45;0;45;45;45;0;45;45;45;0,00119472375309464;0,184645445811104;0,189125259787894;0,186983957082722;0,00138472103103979;0,958742278569574;0,963797471001511;0,961388259461335;0,00321535845599941;0,186784225619489;0,198422176613934;0,193905557471137;0,00339477795987281;0,0151849641967912;0,0263359541527171;0,0212100686907565;0,00075970599462054;0,00302000755001887;0,00566251415628539;0,00436013590033975;0;0,300113250283126;0,300113250283126;0,300113250283126;3,14391643119148;1;14;6,9;0,000326994946632;0,127735986027604;0,129105458936627;0,128470700623922;0;0;0;0
"LC";"PR3EP30";0,193303963047759;17,9448848622122;18,841449603624;18,3172140430351;0;15;15;15;0;15;15;15;0;60;60;60;0,00109779864563886;0,229406127032578;0,233437688526602;0,231189429463758;0,00177843827931956;0,942926928308857;0,950387147228618;0,946509210728298;0,00367371816243374;0,217233499482887;0,230582824473054;0,224153732642196;0,00421693119914137;0,0100645427454729;0,0244880856382201;0,0182197845231497;0;0;0;0;0,00013829654531238;0,299735749339373;0,300113250283126;0,300056625141563;0,850696309223401;0;3;1,25;0,000884463783458506;0,122812948467842;0,126265905660862;0,124925312044299;2,13430624744781;4;13;7,85
"LC";"PR3EP30RE015";0,00723871950603703;15,0826727066818;15,1094752736882;15,0929784824462;0;15;15;15;0;15;15;15;0,794719414239026;18;21;19;0,00302708935283272;0,248931678161165;0,258969775098774;0,253597303779445;0,00343249044752123;0,925920554400346;0,940804237257128;0,935891507982982;0,0061243863639303;0,239072199384093;0,268540971701035;0,25114841344779;0,00488161687671371;0,0198135488381575;0,0388488535920756;0,0310571149341919;0;0;0;0;0,000221647017218714;0,299358248395621;0,300113250283126;0,299981124952812;0,911909506128991;0;3;1,1;0,000640011595995616;0,124184655573256;0,126395986117561;0,125252163592551;3,45649655302195;5;16;10,5
"MT";"ALEEP30";0,117321457707611;54,3299663299663;54,7407407407407;54,5582702020202;0;60;60;60;0,5871429486124;15;17;15,35;0;60;60;60;0,0017421198317168;0,477780191394085;0,483798238801223;0,481146282152995;0,0029669745936388;0,888792444375958;0,900483527112963;0,893660595537373;0,00519648928928464;0,406041412165568;0,424511529243289;0,417500999669724;0,00613241612446854;0,0634527802209867;0,0863805565379642;0,0756817569609529;0,00202478860137278;0,0361952861952862;0,0441919191919192;0,0405092592592593;0,00382608179034903;0,124579124579125;0,137626262626263;0,130765993265993;0;0;0;0;0,000164306823808328;0,0716973186354539;0,0723313228752859;0,0720671708216269;0;0;0;0
"MT";"ALEEP30RE015";0,014589140909829;15,276936026936;15,3333333333333;15,3030303030303;0;15;15;15;0;15;15;15;1,00524937990007;19;22;20,8;0,00169584209541954;0,679078242138108;0,684452379677512;0,681800578991649;0,00747100000802776;0,755388433865283;0,785047834309033;0,771526186592367;0,00880386139949911;0,565736245460777;0,601778144010062;0,582524158355093;0,00844629472688864;0,0812368679354709;0,111903427201192;0,0952381185794914;0,00075288484090902;0,00968013468013468;0,0122053872053872;0,0106902356902357;0,00138902313293414;0,0277777777777778;0,0324074074074074;0,0294823232323232;0;0;0;0;2,41578251495991e-05;0,0197552158799991;0,0198420719048189;0,0198013263091876;0;0;0;0
"MT";"ALETF20";0;20;20;20;0;20;20;20;0;20;20;20;0;20;20;20;0,00164263263996858;0,636947511224719;0,641864189708712;0,63941050677609;0,00554112509864162;0,795785886252752;0,817368156199186;0,804828251989215;0,00705242964068837;0,527202655161999;0,554947043447831;0,544074798351933;0,00578793177143328;0,0784285791898965;0,103261890027445;0,0879414186014717;0,000842857680942643;0,0134680134680135;0,0164141414141414;0,0144360269360269;0,00149754349099904;0,0361952861952862;0,0416666666666667;0,0384469696969697;0;0;0;0;2,65641639705899e-05;0,0258305735525853;0,0259200804339693;0,0258639123417112;0;0;0;0
"MT";"ALETF45";0;45;45;45;0;45;45;45;0;45;45;45;0;45;45;45;0,00136905436077183;0,507743435190596;0,513168257260558;0,51002331046208;0,00381932798547198;0,873918955761683;0,886560971992232;0,880435018726036;0,00641952224029612;0,428295995795486;0,451852192706664;0,439403785959536;0,00734828608108937;0,0664143957866502;0,0903027853691379;0,0776213238332574;0,00186367014061884;0,0286195286195286;0,0366161616161616;0,0348695286195286;0,00259768240412684;0,0921717171717172;0,102272727272727;0,0981060606060606;0;0;0;0;2,72927466539384e-05;0,0585248765243154;0,0586457778306824;0,0586024877311587;0;0;0;0
"MT";"MIFEP30";0,192094229112561;30,6986531986532;31,5159932659933;31,215867003367;0,223606797749979;19;20;19,95;0;15;15;15;0;60;60;60;0,000879465399822835;0,285539113645325;0,288645112962719;0,287251649458458;0,00182138604400991;0,946391454059624;0,954183672184438;0,952018216377672;0,00488630315496224;0,274429905381909;0,295183155120645;0,282122576342693;0,00618841623275571;0,0213645370265631;0,0438974287959681;0,0335255828131349;0;0;0;0;0;1;1;1;0,615587011251092;39;42;40,8;0,0018321031388146;0,400398971896093;0,408542718203569;0,406199504425081;2,48363061920077;631;640;635,8
"MT";"MIFEP30RE015";0,00622524327653164;15,1540404040404;15,1746632996633;15,1647306397306;0;15;15;15;0;15;15;15;1,23544153624268;18;24;19,5;0,00112847847006329;0,330759397402303;0,335503863516369;0,333567708477135;0,00222422366425417;0,934908189834319;0,943273161355672;0,940511905250414;0,00600370046486487;0,30815368589169;0,328673384190579;0,315977618055771;0,00622198979768438;0,0350494157989777;0,0585276052703675;0,0476603757612859;0;0;0;0;0;1;1;1;0;19;19;19;0,00158188079888408;0,402678628735817;0,408750161493413;0,405781713037413;1,13670808176853;697;700;698,35
"MT";"MIFTF20";0;20;20;20;0;20;20;20;0;20;20;20;0;20;20;20;0,00118646205612348;0,30756475271701;0,312499063186296;0,310764928063577;0,00213237818533921;0,942798527730346;0,950572881106599;0,947370634684635;0,00590331156137007;0,289265619423233;0,309738277383438;0,298601376943911;0,00621952017121098;0,0327948410016626;0,0560355736874035;0,0457647578136947;0;0;0;0;0;1;1;1;0,366347548532523;25;26;25,85;0,00164233537359736;0,400692938787425;0,407318414220771;0,40431417588483;2,25423577900991;661;668;664,15
"MT";"MIFTF45";0;45;45;45;0;45;45;45;0;45;45;45;0;45;45;45;0,00106917489280418;0,238953674076335;0,242502533466849;0,241072707711751;0,00126082984809137;0,962073905087105;0,967764869807539;0,965387081402705;0,00425954119234915;0,233412729898581;0,252172216884975;0,243459470505228;0,00455040771803019;0,0271006841917887;0,043436349027558;0,0349651723282245;0;0;0;0;0;1;1;1;0,656946685331786;57;59;58,3;0,00145305696015429;0,429271602104094;0,434700217979773;0,431654095906691;3,36975713633709;498;513;507,75
"MT";"PR1TF20";0;20;20;20;0;20;20;20;0;20;20;20;0;20;20;20;0,00133354562748073;0,35678075263525;0,361676553425687;0,359503303735304;0,00178102054491814;0,928867566324845;0,935862566384283;0,932613574738979;0,00416984133873757;0,331000462891064;0,34644674085415;0,336895667706745;0,00619082027844299;0,0403379125860362;0,0645730328267753;0,0528735774385208;0,000319509534729061;0;0,00126262626262626;0,000652356902356902;0;0,300084175084175;0,300084175084175;0,300084175084175;1,88832981062213;6;12;8,75;0,000765665496347329;0,156364500787901;0,159208456620073;0,157483351861771;0,223606797749979;0;1;0,05
"MT";"PR1TF45";0;45;45;45;0;45;45;45;0;45;45;45;0;45;45;45;0,00130917553612162;0,285257099700131;0,289771836869188;0,287560631316149;0,00112653659632276;0,951244448501352;0,955521486353067;0,953729344996548;0,00402207725700861;0,274468192109236;0,290625421888317;0,280772505790727;0,00608716973636931;0,0339268134157467;0,0562777176908598;0,042271882172724;0,000569595284409895;0,00336700336700337;0,00589225589225589;0,00488215488215488;0;0,300084175084175;0,300084175084175;0,300084175084175;2,31414415235843;31;40;35,75;0,000336169850249588;0,180816008633536;0,182092333422767;0,18147362962774;0;0;0;0
"MT";"PR2EP30";0,214583106812594;40,0740740740741;40,9305555555556;40,5263047138047;0,519994939246629;39;41;40,075;0;15;15;15;0;60;60;60;0,00117811433260039;0,330465360674406;0,334805189978471;0,332980808021873;0,00263305950543735;0,933151736572386;0,945622749042313;0,939757521685192;0,00623228817698768;0,302644747154671;0,333316688456314;0,316521792057077;0,00853628948842515;0,0284472473922736;0,0565040830142014;0,0427122832949776;0,000964588397786081;0,00462962962962963;0,00841750841750842;0,00677609427609428;0;0,300084175084175;0,300084175084175;0,300084175084175;5,12064962983985;8;29;21,7;0,000922081431822992;0,165548114169247;0,16834224409091;0,167102724711443;0;0;0;0
"MT";"PR2EP30RE015";0,0290021035189727;15,5955387205387;15,6927609427609;15,6581018518519;0;15;15;15;0;15;15;15;0,825577947481897;22;25;23,45;0,00233906454060365;0,514797803275253;0,522945354569508;0,519284031264821;0,00440310439796743;0,864325817598783;0,881237989036138;0,873637728085757;0,00753713475452675;0,435904185222528;0,465205013022924;0,450208308002782;0,00816642322151075;0,0619029510492208;0,091343703442791;0,0774008867120815;0,000478412492326823;0,00505050505050505;0,00673400673400673;0,0057449494949495;0,00606288229844058;0,118265993265993;0,140993265993266;0,127356902356902;0;0;0;0;0,000341159404720011;0,0327422933815228;0,034146602046551;0,0334933285718251;0;0;0;0
"MT";"PR2TF20";0;20;20;20;0;20;20;20;0;20;20;20;0;20;20;20;0,000943914174164827;0,374944834601629;0,378540781424014;0,376416549574848;0,00277576132152266;0,922957682231387;0,933266740066764;0,928145706645797;0,00642133249548139;0,334481019932639;0,358108317477345;0,347487988878666;0,00629805927846865;0,0475064247850844;0,0691661196233885;0,057665575491107;0,0003316788407628;0,0021043771043771;0,00336700336700337;0,00256734006734007;0;0,300084175084175;0,300084175084175;0,300084175084175;1,12390297389803;2;6;4;0,00066399203055202;0,123906627299935;0,126697353728078;0,125259074860558;0;0;0;0
"MT";"PR2TF45";0;45;45;45;0;45;45;45;0;45;45;45;0;45;45;45;0,000870788863061479;0,295699293075364;0,298716924012888;0,297201595146008;0,00127477627497431;0,94968015482506;0,953524214945688;0,951719086767975;0,00337918742501857;0,281375770470295;0,292004755949698;0,286990921638812;0,00491570423921863;0,0369658317627086;0,0535988050218321;0,044576238191985;0,000930896634672072;0,00841750841750842;0,0126262626262626;0,0107112794612795;0;0,300084175084175;0,300084175084175;0,300084175084175;3,14391643119148;18;29;24,1;0,000351103262050626;0,148518370511449;0,14987886251214;0,149151598681037;0;0;0;0
"MT";"PR3EP30";0,0938902372629622;43,9886363636364;44,3215488215488;44,1701599326599;0,406363850443624;45;47;46,075;0;15;15;15;0;60;60;60;0,00106766686659576;0,340552445718322;0,344301618419946;0,34237902990713;0,00199013805846911;0,932124853542073;0,940270616187848;0,937440860340833;0,00454081197217512;0,314514990598008;0,334527774016744;0,323368375520211;0,00592716929879861;0,0352736837251228;0,0565421249421954;0,0478481998803442;0,000954630149378278;0,0122053872053872;0,0155723905723906;0,01378367003367;0;0,300084175084175;0,300084175084175;0,300084175084175;3,95334635067825;9;23;16,55;0,000496392947354912;0,137444933079854;0,139285976463589;0,138543308350166;0;0;0;0
"MT";"PR3EP30RE015";0,0167381026702972;15,4713804713805;15,5328282828283;15,5010521885522;0;15;15;15;0;15;15;15;0,944513241388333;21;25;22,45;0,00203135528270748;0,624564902447938;0,631598066561206;0,628020725413245;0,0049743153389317;0,796900388920573;0,817323399570018;0,807666546170374;0,00684851598243086;0,527638939526879;0,554772263847756;0,541289873188327;0,00745868326905481;0,0770564038939191;0,102615700161666;0,0883753731477447;0,000979692850454527;0,00757575757575758;0,0113636363636364;0,00928030303030303;0,00250997728046375;0,0395622895622896;0,0496632996632997;0,0449284511784512;0;0;0;0;6,90316261898112e-05;0,0207108732258995;0,0209757965631701;0,0208192154584286;0;0;0;0
